frame_no,x,y,w,h,center_x,center_y
0,739,209,37,88,757,253
1,735,209,37,88,753,253
2,732,210,37,88,750,254
3,729,210,37,88,747,254
4,726,211,37,88,744,255
5,723,211,37,88,741,255
6,720,212,37,88,738,256
7,717,212,37,88,735,256
8,714,213,37,88,732,257
9,713,213,35,88,730,257
10,713,214,34,87,730,257
11,707,214,35,88,724,258
12,702,215,37,88,720,259
13,699,215,37,88,717,259
14,696,216,37,88,714,260
15,693,216,37,88,711,260
16,690,217,37,88,708,261
17,687,217,37,88,705,261
18,684,218,37,88,702,262
19,681,218,37,88,699,262
20,678,219,37,88,696,263
21,669,219,37,88,687,263
22,660,219,37,88,678,263
23,651,219,37,88,669,263
24,642,219,37,88,660,263
25,633,219,37,88,651,263
26,624,219,37,88,642,263
27,615,219,37,88,633,263
28,607,219,37,88,625,263
29,599,221,36,86,617,264
30,592,224,35,84,609,266
31,585,223,36,86,603,266
32,578,223,37,88,596,267
33,573,223,37,88,591,267
34,568,224,37,88,586,268
35,563,225,37,88,581,269
36,559,226,37,88,577,270
37,555,225,36,87,573,268
38,552,225,35,86,569,268
39,549,224,34,85,566,266
40,546,224,33,83,562,265
41,542,223,34,84,559,265
42,539,221,35,86,556,264
43,535,220,36,87,553,263
44,532,219,37,88,550,263
45,528,218,37,88,546,262
46,524,218,37,88,542,262
47,520,218,37,88,538,262
48,516,218,37,88,534,262
49,515,220,33,85,531,262
50,514,223,30,81,529,263
51,507,220,33,85,523,262
52,500,217,37,88,518,261
53,497,216,36,88,515,260
54,494,216,36,88,512,260
55,491,215,36,88,509,259
56,488,215,36,88,506,259
57,485,215,35,87,502,258
58,482,215,34,85,499,257
59,479,216,33,84,495,258
60,477,216,32,82,493,257
61,475,215,33,84,491,257
62,473,214,34,85,490,256
63,471,213,35,86,488,256
64,469,212,36,88,487,256
65,467,212,36,88,485,256
66,465,212,36,88,483,256
67,463,212,36,88,481,256
68,461,212,36,88,479,256
69,460,212,35,84,477,254
70,459,212,33,81,475,252
71,456,212,35,84,473,254
72,454,212,36,88,472,256
73,452,212,36,88,470,256
74,450,212,36,88,468,256
75,448,212,36,88,466,256
76,446,212,36,88,464,256
77,444,212,35,86,461,255
78,443,213,34,85,460,255
79,442,213,33,84,458,255
80,441,214,32,83,457,255
81,438,212,33,84,454,254
82,436,211,34,85,453,253
83,434,209,35,86,451,252
84,432,208,36,88,450,252
85,431,207,36,87,449,250
86,430,207,36,87,448,250
87,429,206,36,87,447,249
88,428,206,36,87,446,249
89,427,207,34,85,444,249
90,427,209,33,83,443,250
91,426,206,34,85,443,248
92,426,204,36,87,444,247
93,425,203,36,87,443,246
94,424,203,36,87,442,246
95,423,202,36,87,441,245
96,422,202,36,87,440,245
