frame_no,x,y,w,h,center_x,center_y
0,477,274,40,31,497,289
1,477,272,41,31,497,287
2,478,273,41,32,498,289
3,478,274,41,32,498,290
4,479,275,42,32,500,291
5,480,280,42,32,501,296
6,481,277,42,33,502,293
7,481,281,42,33,502,297
8,480,281,43,33,501,297
9,480,282,43,34,501,299
10,479,280,44,34,501,297
11,479,278,44,34,501,295
12,479,277,44,34,501,294
13,479,277,44,35,501,294
14,480,277,45,35,502,294
15,480,278,45,35,502,295
16,480,278,45,35,502,295
17,480,279,45,36,502,297
18,480,279,46,36,503,297
19,480,280,45,36,502,298
20,480,280,46,36,503,298
21,480,281,46,36,503,299
22,480,281,46,36,503,299
23,481,282,46,37,504,300
24,481,283,47,37,504,301
25,481,284,47,38,504,303
26,481,286,48,38,505,305
27,481,287,49,39,505,306
28,481,289,49,39,505,308
29,481,290,49,39,505,309
30,481,292,49,39,505,311
31,481,294,49,39,505,313
32,480,287,49,39,504,306
33,481,289,52,39,507,308
34,481,286,51,40,506,306
35,482,283,50,41,507,303
36,481,282,51,41,506,302
37,481,282,51,41,506,302
38,482,283,50,41,507,303
39,482,283,52,40,508,303
40,481,283,54,40,508,303
41,481,283,54,40,508,303
42,481,284,55,41,508,304
43,481,284,55,41,508,304
44,481,285,55,41,508,305
45,482,286,56,43,510,307
46,483,286,56,45,511,308
47,481,288,56,44,509,310
48,483,288,55,45,510,310
49,482,289,56,44,510,311
50,481,291,53,44,507,313
51,482,289,56,44,510,311
52,482,288,60,45,512,310
53,482,289,60,45,512,311
54,482,289,59,45,511,311
55,482,290,59,45,511,312
56,482,290,58,45,511,312
57,482,290,57,45,510,312
58,482,290,57,46,510,313
59,482,290,56,46,510,313
60,482,290,56,46,510,313
61,481,290,57,46,509,313
62,480,290,59,46,509,313
63,479,290,61,46,509,313
64,478,290,62,47,509,313
65,478,291,62,47,509,314
66,477,291,62,47,508,314
67,476,292,62,48,507,316
68,476,292,62,49,507,316
69,475,293,62,50,506,318
70,474,293,62,50,505,318
71,472,293,62,50,503,318
72,471,293,64,50,503,318
73,469,293,65,50,501,318
74,468,293,65,51,500,318
75,467,293,65,51,499,318
76,465,293,66,52,498,319
77,463,293,66,52,496,319
78,462,293,66,53,495,319
79,460,293,67,53,493,319
80,458,293,67,54,491,320
81,456,293,67,54,489,320
82,455,293,67,55,488,320
83,453,293,66,55,486,320
84,452,294,66,54,485,321
85,450,295,65,54,482,322
86,449,296,64,54,481,323
87,448,297,63,53,479,323
88,445,298,64,53,477,324
89,442,299,66,52,475,325
90,439,300,69,51,473,325
91,436,302,68,52,470,328
92,434,303,67,53,467,329
93,431,305,66,54,464,332
94,429,304,67,54,462,331
95,427,304,67,54,460,331
96,424,304,68,55,458,331
97,422,304,68,55,456,331
98,420,304,69,55,454,331
99,418,304,69,55,452,331
100,415,304,70,55,450,331
101,413,304,70,56,448,332
102,411,304,71,56,446,332
103,409,304,72,56,445,332
104,406,304,72,56,442,332
105,404,303,71,56,439,331
106,402,303,71,56,437,331
107,400,303,71,56,435,331
108,398,303,71,56,433,331
109,396,302,70,56,431,330
110,394,302,70,56,429,330
111,391,302,70,55,426,329
112,388,302,70,55,423,329
113,385,302,71,55,420,329
114,383,302,70,55,418,329
115,380,302,70,55,415,329
116,377,302,71,55,412,329
117,375,302,70,54,410,329
118,372,302,71,54,407,329
119,369,302,71,54,404,329
120,367,303,71,54,402,330
